biz,area,type,status,demo,message_1
"Marina Smile Clinic","Dubai Marina","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Marina Smile Clinic: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"JLT Family Dental","JLT, Dubai","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for JLT Family Dental: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Business Bay Dental Studio","Business Bay","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Business Bay Dental Studio: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Jumeirah Beach Dental","Jumeirah","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Jumeirah Beach Dental: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Downtown Dental Lounge","Downtown Dubai","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Downtown Dental Lounge: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"DIFC Executive Dental","DIFC","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for DIFC Executive Dental: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Al Barsha Dental Hub","Al Barsha","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Al Barsha Dental Hub: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Mirdif Family Dental","Mirdif","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Mirdif Family Dental: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Palm View Dental Care","Palm / Fronds corridor","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Palm View Dental Care: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Silicon Oasis Dental","Dubai Silicon Oasis","dental","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Silicon Oasis Dental: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Marina Glow MedSpa","Dubai Marina","medspa","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Marina Glow MedSpa: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Jumeirah Aesthetic Studio","Jumeirah","medspa","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Jumeirah Aesthetic Studio: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Business Bay Skin Clinic","Business Bay","medspa","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Business Bay Skin Clinic: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"Downtown Laser & Aesthetics","Downtown Dubai","medspa","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for Downtown Laser & Aesthetics: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"
"JLT Beauty Clinic","JLT","medspa","ready","https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html","Free live preview for JLT Beauty Clinic: https://leadflow-ai-1vip.onrender.com/live_demos/marina_pearl_dental_live.html | Growth 1499 USDT if you want ownership"